SN,Trial,vstmLoad,Targ,Flnk,Congruency,Resp,RT,vstmCond,vstmResp,vstmRT
1,1,1,1,1,1,1,1.1466,2,2,1.1304
1,2,2,1,2,0,1,1.3619,1,2,1.2176
1,3,1,2,1,0,2,0.845,1,1,0.7007
1,4,1,1,2,0,1,1.2057,2,2,0.6774
1,5,1,1,1,1,1,1.0779,2,2,0.6777
1,6,2,2,1,0,7,7,2,1,1.2781
1,7,1,1,2,0,1,0.9225,1,1,0.7782
1,8,1,1,2,0,1,0.9448,1,1,0.6085
1,9,1,1,1,1,1,0.8235,2,2,0.7433
1,10,1,1,1,1,1,0.7532,2,2,0.7369
1,11,1,2,2,1,7,7,1,1,0.7666
1,12,2,1,2,0,1,0.8168,2,1,0.8006
1,13,1,2,1,0,2,0.8516,1,1,0.7074
1,14,2,2,2,1,2,1.0725,2,2,0.9283
1,15,2,2,1,0,2,0.9419,1,1,0.8617
1,16,1,2,2,1,2,1.0098,1,1,0.5456
1,17,1,2,1,0,2,1.2674,1,1,0.8032
1,18,2,2,1,0,2,0.9462,2,2,0.93
1,19,1,1,2,0,7,7,1,1,0.7596
1,20,1,1,1,1,1,0.9548,1,1,0.5546
1,21,2,2,2,1,2,0.9329,1,1,0.9807
1,22,2,2,2,1,2,0.6794,2,2,0.7272
1,23,2,1,2,0,1,0.9408,2,2,0.7325
1,24,2,2,2,1,7,7,2,2,0.8144
1,25,2,1,2,0,1,0.6779,1,1,0.9176
1,26,1,2,2,1,2,0.9312,1,1,0.467
1,27,1,1,1,1,1,0.643,1,1,0.5627
1,28,2,2,1,0,2,0.6615,1,1,0.7093
1,29,1,1,2,0,1,0.6904,1,1,0.6742
1,30,1,1,1,1,1,0.5626,1,1,0.4824
1,31,2,2,2,1,1,0.7393,1,2,0.7903
1,32,1,2,1,0,7,7,2,2,1.5439
1,33,1,2,1,0,2,0.7827,1,1,0.7025
1,34,2,2,2,1,2,0.8874,1,1,0.8071
1,35,2,1,1,1,1,0.9501,2,1,0.9339
1,36,2,1,2,0,7,7,2,2,1.6955
1,37,1,1,2,0,1,0.7142,1,1,0.9539
1,38,1,2,1,0,2,0.8042,2,2,0.724
1,39,1,2,2,1,2,1.3385,2,2,1.0023
1,40,1,1,1,1,1,0.7533,1,1,0.673
1,41,1,2,2,1,2,0.8175,2,2,0.7372
1,42,2,2,2,1,2,0.7588,2,1,0.8066
1,43,2,2,1,0,2,0.8576,2,2,0.7134
1,44,1,2,1,0,2,0.7467,1,1,0.5385
1,45,1,1,1,1,1,0.9403,2,2,0.6041
1,46,1,2,1,0,2,0.7434,2,2,0.5992
1,47,2,2,1,0,2,0.6862,1,1,0.734
1,48,2,1,2,0,1,0.8482,2,2,0.64
1,49,2,1,1,1,1,0.8198,2,1,1.0595
1,50,2,1,2,0,1,0.7237,2,1,0.7075
1,51,1,2,2,1,2,0.8408,1,1,0.4406
1,52,1,2,2,1,2,0.7733,2,2,0.9491
1,53,1,1,2,0,1,0.7471,2,2,0.6029
1,54,2,1,1,1,1,0.6899,1,1,0.7377
1,55,1,2,1,0,2,0.6953,2,2,0.743
1,56,2,1,1,1,1,0.6771,1,1,0.7889
1,57,2,2,2,1,2,0.8796,1,1,0.7354
1,58,2,2,1,0,2,0.6812,2,1,0.793
1,59,1,1,2,0,2,0.78,1,1,1.296
1,60,2,1,2,0,1,0.7579,1,2,0.7417
1,61,2,2,2,1,2,0.7235,2,1,0.7073
1,62,1,1,2,0,1,0.8525,2,2,0.6442
1,63,2,2,1,0,2,0.9219,1,1,0.7136
1,64,2,1,1,1,1,1.0147,1,1,0.7425
1,65,2,2,2,1,2,0.6869,2,1,0.7987
1,66,2,2,1,0,2,0.6953,1,1,1.8951
1,67,1,1,2,0,1,0.7283,1,1,0.5841
1,68,2,2,1,0,2,0.5313,2,2,0.7071
1,69,1,1,1,1,1,0.6883,2,2,0.608
1,70,2,1,2,0,1,0.7591,1,1,0.8068
1,71,1,1,2,0,1,0.6181,2,2,0.5378
1,72,2,1,2,0,1,0.6601,1,1,1.0279
1,73,1,1,2,0,1,0.7436,1,1,0.5993
1,74,1,1,1,1,1,0.6106,2,2,0.5944
1,75,2,2,2,1,2,0.6814,1,1,0.7932
1,76,2,1,1,1,1,0.5639,1,2,0.6757
1,77,1,2,1,0,2,0.8702,1,1,1.046
1,78,2,2,2,1,2,0.6741,1,1,0.7219
1,79,1,2,2,1,2,0.6913,2,2,0.739
1,80,2,2,1,0,2,0.6613,2,2,0.5811
1,81,1,1,1,1,1,0.6799,2,2,0.5997
1,82,2,2,2,1,2,0.6109,2,1,0.7867
1,83,2,1,1,1,1,0.6862,2,1,0.798
1,84,2,2,1,0,2,0.5929,1,1,0.7048
1,85,1,1,1,1,1,0.6219,1,1,0.8617
1,86,1,2,1,0,2,0.6258,2,2,0.5456
1,87,2,1,1,1,1,0.6914,2,2,0.5472
1,88,2,1,2,0,1,0.7453,2,2,0.6011
1,89,2,2,1,0,2,0.769,1,1,0.8808
1,90,1,1,2,0,1,0.7494,1,1,0.6692
1,91,2,1,1,1,1,0.6739,1,1,0.7856
1,92,1,2,1,0,2,0.7601,2,2,0.6799
1,93,2,1,2,0,1,0.7773,1,1,1.0171
1,94,2,1,1,1,1,0.6923,1,2,0.8041
1,95,1,2,1,0,2,0.9191,2,2,0.5188
1,96,2,1,1,1,1,0.7405,1,1,0.5962
1,97,1,1,2,0,1,0.8051,2,2,2.9008
1,98,2,1,1,1,1,0.6751,1,1,0.6589
1,99,1,1,1,1,1,0.5878,1,1,0.5076
1,100,2,1,1,1,1,0.5894,2,2,0.8932
1,101,1,1,2,0,1,0.622,2,2,0.6698
1,102,1,2,2,1,2,0.6863,2,2,0.542
1,103,2,1,2,0,1,0.7401,1,1,0.7239
1,104,2,1,2,0,1,0.7102,2,2,0.566
1,105,2,1,1,1,1,0.6007,1,1,0.9045
1,106,1,1,2,0,1,0.6856,1,1,0.6694
1,107,1,1,2,0,1,0.7498,2,2,0.6056
1,108,1,1,1,1,1,0.6286,2,2,0.6124
1,109,2,2,1,0,1,0.6876,2,2,0.9137
1,110,1,1,1,1,1,0.6308,1,1,0.8706
1,111,2,1,2,0,1,0.7039,1,1,1.7117
1,112,2,1,1,1,1,0.7449,2,2,0.6007
1,113,2,2,1,0,2,0.7922,2,2,0.84
1,114,2,2,2,1,2,0.6799,2,1,0.7277
1,115,1,2,1,0,2,0.6573,1,1,0.577
1,116,2,2,2,1,1,0.9958,2,1,1.172
1,117,2,1,2,0,1,0.7443,1,1,0.8561
1,118,1,1,1,1,1,0.632,2,2,0.6158
1,119,1,1,1,1,1,0.6153,1,1,0.7911
1,120,1,2,1,0,2,1.2018,2,1,0.8016
1,121,1,1,2,0,1,0.7246,2,2,0.6444
1,122,1,2,2,1,2,0.7483,1,1,0.6041
1,123,2,1,2,0,1,0.6911,1,1,0.7389
1,124,1,2,2,1,2,0.8128,2,2,0.6685
1,125,1,2,2,1,2,1.0976,2,2,0.8254
1,126,2,1,1,1,1,1.3811,2,2,0.7889
1,127,2,2,2,1,2,0.6759,1,1,0.7237
1,128,2,1,1,1,2,1.0012,2,2,0.8456
1,129,2,1,1,1,1,0.6952,2,1,0.743
1,130,1,1,1,1,1,0.6138,1,1,0.5976
1,131,2,1,1,1,1,0.6323,1,1,0.5522
1,132,2,2,1,0,2,0.6862,2,2,0.798
1,133,2,2,2,1,2,0.8248,1,1,0.6165
1,134,1,1,2,0,1,0.6278,1,1,1.0596
1,135,2,2,2,1,2,0.6119,1,1,0.5957
1,136,2,1,2,0,2,0.6187,2,2,0.8514
1,137,1,2,2,1,2,0.6795,1,1,0.5993
1,138,1,1,2,0,1,0.7386,2,2,0.6583
1,139,2,1,2,0,1,0.6631,2,1,0.9028
1,140,1,1,1,1,1,0.6206,1,1,0.6044
1,141,2,1,2,0,1,0.7436,2,1,0.4714
1,142,2,1,2,0,1,0.5841,2,2,0.7599
1,143,1,2,1,0,2,0.6939,1,1,0.6777
1,144,2,2,2,1,2,0.6941,1,1,0.6779
1,145,2,1,2,0,1,0.6303,2,1,0.8701
1,146,1,2,2,1,2,0.6585,1,1,0.7703
1,147,1,2,2,1,2,0.6808,1,1,0.7286
1,148,2,2,1,0,2,0.9304,1,1,1.2982
1,149,1,2,2,1,2,0.7315,2,2,0.6513
1,150,2,1,1,1,1,0.8192,2,1,0.739
1,151,1,2,1,0,2,0.6738,1,1,0.5936
1,152,1,1,1,1,1,0.6165,1,1,0.6003
1,153,1,2,2,1,2,0.6233,1,1,0.4791
1,154,1,1,2,0,1,0.5676,2,2,0.6153
1,155,2,2,1,0,2,0.5626,1,1,0.6744
1,156,1,1,1,1,1,0.6268,2,2,0.6106
1,157,1,2,1,0,2,0.6218,2,2,0.5416
1,158,1,2,1,0,1,0.6874,1,1,0.9135
1,159,1,1,1,1,1,0.7756,2,2,0.6313
1,160,2,2,2,1,2,0.619,2,1,0.7948
1,161,1,2,1,0,2,0.6471,2,2,0.5668
1,162,1,2,1,0,2,0.6539,2,2,0.6376
1,163,2,2,1,0,2,0.6658,1,1,0.8416
1,164,1,2,1,0,2,0.7455,2,2,0.6013
1,165,1,2,1,0,2,0.6883,1,1,0.7361
1,166,2,1,1,1,1,0.7577,2,1,0.6135
1,167,1,1,2,0,1,0.6607,2,2,0.7085
1,168,2,1,1,1,1,0.8176,1,1,0.8014
1,169,1,2,2,1,2,0.6884,2,2,0.7362
1,170,1,2,2,1,2,0.874,2,2,0.6018
1,171,2,2,1,0,2,0.677,2,1,0.8528
1,172,2,2,1,0,2,0.653,2,1,0.9567
1,173,2,1,2,0,1,0.715,1,1,0.7628
1,174,1,1,1,1,1,0.6211,1,1,0.5409
1,175,2,2,2,1,2,0.5992,2,2,0.775
1,176,1,2,2,1,2,0.6973,1,1,0.5531
1,177,1,2,2,1,2,0.8151,1,1,0.7349
1,178,2,2,2,1,2,1.0125,2,1,0.6763
1,179,1,2,2,1,2,0.7927,1,1,0.7125
1,180,1,1,2,0,1,0.8098,1,1,0.9856
1,181,1,2,2,1,2,0.6961,2,2,0.6799
1,182,1,2,1,0,2,0.6963,1,1,0.6161
1,183,2,2,1,0,2,0.656,2,2,0.7039
1,184,2,2,2,1,1,1.197,1,1,1.1091
1,185,1,2,2,1,2,0.6144,2,2,0.8542
1,186,2,2,1,0,2,0.8743,1,1,0.9221
1,187,2,1,1,1,1,0.7319,1,1,0.8437
1,188,2,2,2,1,7,7,1,7,7
1,189,2,1,1,1,1,0.6779,2,2,0.7257
1,190,2,2,1,0,2,0.7473,1,2,1.4351
1,191,2,1,2,0,1,0.6587,1,1,0.6425
1,192,1,1,2,0,1,0.6302,2,2,0.614
2,1,1,2,2,1,2,1.0104,2,1,0.8661
2,2,1,1,1,1,1,0.8959,2,1,1.1357
2,3,1,1,1,1,1,0.7293,1,1,0.713
2,4,2,2,2,1,2,0.6941,2,2,1.3819
2,5,2,2,2,1,1,0.6453,1,2,0.9184
2,6,1,2,1,0,1,0.9195,2,2,1.7423
2,7,1,2,1,0,2,0.8094,2,2,1.1132
2,8,2,2,1,0,2,0.6942,1,1,1.958
2,9,2,1,1,1,1,0.9479,2,1,1.6357
2,10,2,2,2,1,2,0.9271,2,2,0.6549
2,11,2,1,2,0,1,0.8228,1,2,1.3186
2,12,2,1,2,0,1,0.8049,2,2,0.7246
2,13,2,2,2,1,2,0.7462,2,2,0.858
2,14,1,2,2,1,2,0.7502,1,1,0.862
2,15,2,2,2,1,2,0.9461,1,2,0.4819
2,16,2,1,2,0,1,0.6991,1,2,1.3868
2,17,2,1,1,1,1,0.5413,1,1,1.2931
2,18,1,2,1,0,2,0.7499,2,2,1.1817
2,19,1,2,1,0,2,0.5759,2,1,0.7518
2,20,1,1,2,0,1,0.8785,2,2,0.7343
2,21,1,1,2,0,1,0.6161,1,1,0.7279
2,22,1,1,1,1,1,0.5692,1,2,0.809
2,23,2,2,1,0,2,0.604,2,2,1.1638
2,24,2,2,1,0,2,0.7618,1,2,0.9376
2,25,2,1,2,0,1,0.7311,1,2,0.5869
2,26,1,2,1,0,2,0.6813,2,1,1.0491
2,27,1,2,2,1,2,0.6309,2,2,0.9986
2,28,1,1,2,0,1,0.6856,2,2,0.7974
2,29,2,1,1,1,1,0.6961,1,1,0.7439
2,30,1,1,2,0,1,0.614,2,1,1.0458
2,31,1,2,1,0,2,0.5988,2,2,1.2226
2,32,1,1,1,1,1,1.5298,2,2,0.8096
2,33,2,1,1,1,1,0.5009,2,2,0.5486
2,34,1,1,1,1,1,0.5025,2,2,0.4223
2,35,2,1,1,1,1,0.4298,1,1,0.3495
2,36,1,2,1,0,2,0.6196,1,2,0.6674
2,37,2,1,2,0,1,0.5919,1,1,1.2158
2,38,2,1,2,0,1,0.935,1,2,0.6629
2,39,1,2,2,1,2,0.471,2,2,0.7108
2,40,2,2,1,0,2,0.6919,1,2,0.4197
2,41,2,1,2,0,2,0.7428,2,1,0.462
2,42,1,1,1,1,1,0.8712,2,2,0.8549
2,43,2,2,2,1,2,0.6948,2,2,0.5507
2,44,1,1,2,0,1,0.6325,2,2,0.5522
2,45,2,1,2,0,1,0.7385,2,1,0.8503
2,46,1,2,1,0,2,1.0463,1,2,0.9661
2,47,2,1,2,0,2,1.3643,2,2,0.524
2,48,1,1,1,1,1,0.5653,2,2,0.5492
2,49,2,2,2,1,2,0.695,1,2,0.2948
2,50,1,2,1,0,2,0.9797,1,1,0.9635
2,51,2,1,1,1,1,0.6335,1,2,0.7453
2,52,2,1,1,1,1,0.4594,1,1,0.3791
2,53,2,2,2,1,1,0.5499,1,1,0.9172
2,54,2,2,1,0,2,0.6865,2,2,0.5423
2,55,2,1,1,1,1,0.6241,2,2,0.4799
2,56,2,2,1,0,2,0.6964,1,7,7
2,57,2,2,1,0,2,0.5789,1,1,0.6267
2,58,1,2,1,0,2,0.6262,1,1,0.802
2,59,2,2,1,0,2,0.5492,2,1,0.725
2,60,1,2,1,0,2,0.5266,2,2,0.5743
2,61,1,2,1,0,2,0.4929,2,2,0.6046
2,62,1,2,1,0,2,0.6277,1,1,0.6115
2,63,1,2,2,1,2,0.6867,1,2,1.4385
2,64,2,2,1,0,2,0.5341,2,2,0.5819
2,65,2,1,2,0,1,1.1018,2,2,0.6376
2,66,1,1,2,0,7,7,2,7,7
2,67,2,1,1,1,1,0.485,2,2,0.7248
2,68,2,2,1,0,2,0.6184,1,2,0.4742
2,69,2,2,2,1,2,0.5229,1,1,0.5066
2,70,1,1,2,0,1,0.8798,2,7,7
2,71,2,2,2,1,2,0.7859,1,1,0.8336
2,72,1,2,1,0,1,0.7611,1,1,0.9806
2,73,1,2,2,1,2,0.7433,1,1,0.8551
2,74,2,2,2,1,2,0.5839,1,2,0.6957
2,75,2,2,1,0,2,0.6606,2,1,0.5804
2,76,1,2,1,0,2,0.8432,2,2,0.763
2,77,2,1,2,0,1,0.697,2,2,0.5528
2,78,1,2,2,1,2,0.5589,2,2,0.6067
2,79,1,1,1,1,1,0.7577,1,1,0.9974
2,80,1,2,2,1,2,0.7602,1,1,0.68
2,81,1,1,1,1,1,0.6964,2,2,0.9362
2,82,2,2,2,1,2,0.682,2,2,0.8578
2,83,2,2,2,1,2,0.6859,2,2,0.4777
2,84,1,1,1,1,1,0.5544,2,2,1.3702
2,85,1,1,1,1,1,0.5931,2,2,0.3849
2,86,1,2,1,0,2,0.5674,2,2,0.4872
2,87,2,2,2,1,2,0.6278,2,2,0.6756
2,88,1,1,2,0,1,0.6921,1,1,0.4839
2,89,1,1,2,0,2,0.6128,1,1,0.5894
2,90,2,1,1,1,1,0.4844,2,1,0.7242
2,91,2,1,2,0,1,0.6186,2,2,1.3703
2,92,1,1,1,1,1,0.5763,2,2,0.56
2,93,2,2,1,0,2,0.6301,2,2,1.0619
2,94,2,2,2,1,2,0.6143,1,2,0.3421
2,95,1,1,2,0,1,0.5319,2,2,0.5798
2,96,2,2,2,1,2,0.6145,1,1,0.9183
2,97,1,1,2,0,1,0.7437,2,2,0.4715
2,98,2,1,2,0,1,0.5533,1,1,0.5371
2,99,1,2,1,0,2,0.6881,1,2,1.7599
2,100,1,1,2,0,1,0.5379,1,1,0.7776
2,101,2,1,1,1,1,0.6241,1,1,0.8
2,102,1,2,2,1,2,0.8149,1,2,0.4787
2,103,1,2,2,1,2,0.7951,2,2,0.6509
2,104,1,2,1,0,2,0.7431,1,1,1.2389
2,105,1,2,2,1,2,0.6148,2,2,0.5986
2,106,1,1,2,0,1,0.6267,2,2,0.8665
2,107,2,1,1,1,1,0.6307,2,2,1.0624
2,108,2,1,2,0,7,7,2,7,7
2,109,2,2,1,0,2,0.5452,1,2,0.593
2,110,1,2,1,0,2,0.6115,1,2,1.0433
2,111,1,2,2,1,2,0.4161,1,2,0.7839
2,112,2,1,2,0,1,0.4745,2,1,0.5862
2,113,2,2,2,1,2,0.6857,1,2,0.7335
2,114,2,1,2,0,1,1.2914,2,2,0.6351
2,115,2,2,1,0,2,0.628,2,1,0.4198
2,116,1,1,1,1,1,0.556,1,1,0.6678
2,117,2,2,2,1,2,0.4451,2,2,0.621
2,118,2,2,2,1,2,0.58,2,2,0.6917
2,119,2,1,1,1,1,0.5684,1,1,0.4882
2,120,1,2,2,1,2,0.8208,2,2,0.7406
2,121,2,2,2,1,1,0.9424,2,2,0.9736
2,122,2,1,1,1,1,0.5679,1,1,0.8077
2,123,2,1,2,0,2,0.8227,1,2,0.9075
2,124,1,2,1,0,2,0.6371,1,1,0.5569
2,125,1,2,1,0,2,0.6792,1,2,0.983
2,126,2,2,1,0,2,0.7789,1,1,0.5067
2,127,2,1,1,1,1,0.7283,2,1,0.776
2,128,1,1,1,1,1,0.5828,1,1,0.5026
2,129,2,2,2,1,2,0.9539,2,2,0.7457
2,130,1,1,1,1,1,0.6129,1,1,1.3007
2,131,2,1,1,1,1,0.5655,2,2,0.9973
2,132,1,2,1,0,2,0.696,1,2,0.4238
2,133,1,2,2,1,2,0.5836,2,2,0.5033
2,134,2,2,1,0,2,0.8882,1,2,0.936
2,135,2,1,1,1,1,0.5376,1,1,1.0334
2,136,1,2,2,1,2,0.9058,1,1,0.7615
2,137,1,2,1,0,2,0.6838,2,2,0.9236
2,138,2,2,2,1,2,0.6172,1,1,0.793
2,139,2,1,2,0,1,0.7322,2,1,0.844
2,140,2,2,1,0,2,0.6846,1,1,0.4125
2,141,1,2,2,1,2,0.6876,1,1,0.6714
2,142,2,2,1,0,2,0.8158,2,2,0.5436
2,143,2,1,1,1,1,0.6896,2,1,0.6733
2,144,1,1,1,1,1,0.5337,1,1,0.4535
2,145,2,1,2,0,1,0.7574,1,1,0.4852
2,146,1,2,2,1,2,0.7421,2,2,0.5979
2,147,1,1,2,0,2,0.7489,1,1,0.5322
2,148,2,2,2,1,2,0.486,1,1,1.3018
2,149,2,2,1,0,2,0.6828,2,1,0.6026
2,150,2,1,1,1,1,0.6499,2,1,0.5696
2,151,2,2,1,0,2,0.7162,2,1,1.02
2,152,2,1,2,0,1,0.7312,1,1,0.843
2,153,1,1,2,0,1,0.6424,1,1,0.4982
2,154,1,2,1,0,2,0.6911,2,2,0.8029
2,155,2,1,2,0,1,0.9459,1,7,7
2,156,2,2,1,0,2,0.6482,1,1,1.016
2,157,1,1,2,0,1,0.6794,2,2,0.7272
2,158,1,1,1,1,1,0.6326,2,2,0.8083
2,159,2,1,1,1,1,0.6196,2,2,2.7153
2,160,2,1,2,0,1,0.5565,1,1,0.6043
2,161,2,1,2,0,1,0.5832,2,2,0.375
2,162,2,2,1,0,2,0.5871,2,1,0.5709
2,163,1,1,1,1,1,0.5255,1,2,0.7653
2,164,1,1,2,0,1,0.5316,1,1,0.5153
2,165,1,2,2,1,2,0.5045,2,2,1.3843
2,166,2,1,1,1,1,0.5667,1,1,0.6785
2,167,2,2,1,0,1,0.5029,2,2,0.3412
2,168,1,1,1,1,1,0.4951,1,1,0.7988
2,169,2,1,1,1,1,0.5578,2,1,0.4136
2,170,1,1,2,0,1,0.5851,2,2,0.5049
2,171,1,2,2,1,2,0.7383,2,2,0.6581
2,172,1,1,1,1,1,0.6105,1,1,0.9783
2,173,2,2,1,0,2,0.6653,1,2,0.393
2,174,1,1,2,0,1,0.5881,1,1,0.5718
2,175,2,1,1,1,1,0.6184,1,2,0.7302
2,176,1,1,2,0,1,0.6598,1,1,0.8356
2,177,2,2,2,1,2,0.5593,2,1,0.351
2,178,1,1,1,1,1,0.5409,1,1,0.6527
2,179,1,2,2,1,1,0.6926,1,1,0.5347
2,180,2,1,2,0,1,0.5643,1,1,0.4201
2,181,1,1,2,0,1,0.8233,1,1,0.4871
2,182,1,2,2,1,2,0.808,1,2,0.6638
2,183,1,1,1,1,1,0.5243,2,2,0.764
2,184,1,2,2,1,2,0.6393,2,2,0.6231
2,185,1,1,1,1,1,0.5468,1,2,0.5945
2,186,1,2,2,1,2,0.5256,1,1,0.5093
2,187,1,1,2,0,1,0.9465,1,1,0.5463
2,188,1,1,1,1,1,0.5811,2,2,0.7568
2,189,1,1,2,0,1,0.6909,1,1,0.7387
2,190,2,1,1,1,1,0.6323,1,1,0.744
2,191,1,2,2,1,2,0.6899,1,1,0.7376
2,192,1,1,2,0,1,0.8232,2,2,0.487
3,1,1,2,1,0,2,1.0823,2,2,0.8741
3,2,1,2,1,0,2,1.0443,2,2,0.9641
3,3,2,1,2,0,1,1.0064,2,2,1.1182
3,4,2,2,2,1,2,0.9435,1,1,0.7352
3,5,2,1,2,0,1,1.0768,1,2,1.6366
3,6,1,1,1,1,1,0.9802,1,1,1.284
3,7,2,1,1,1,1,0.8166,2,1,0.8004
3,8,1,2,2,1,2,1.1714,1,1,0.8352
3,9,2,2,1,0,2,1.0069,1,1,0.8626
3,10,2,1,1,1,1,0.8828,2,2,1.6986
3,11,1,1,1,1,1,0.9474,2,2,0.8671
3,12,2,1,2,0,1,1.1433,2,2,2.2791
3,13,1,1,2,0,1,0.9513,1,1,1.1271
3,14,1,2,2,1,2,1.0805,1,1,0.8082
3,15,1,1,2,0,1,1.0152,2,2,0.999
3,16,1,2,1,0,2,1.0059,2,2,1.1177
3,17,1,2,1,0,2,1.007,1,1,0.9908
3,18,1,2,1,0,2,0.9978,2,2,1.0456
3,19,2,2,1,0,2,0.8892,1,1,0.809
3,20,1,1,2,0,1,1.1322,1,1,1.372
3,21,1,1,1,1,1,1.0025,1,1,0.5382
3,22,2,2,1,0,2,0.9688,2,2,1.1446
3,23,2,1,1,1,1,1.0626,2,2,1.1104
3,24,2,2,1,0,2,1.0637,1,2,2.0075
3,25,2,2,1,0,2,1.007,1,1,0.8628
3,26,1,1,2,0,1,0.8359,2,2,0.6277
3,27,1,1,2,0,1,0.8008,1,1,0.4646
3,28,2,2,2,1,2,1.0768,2,1,0.9966
3,29,2,1,1,1,1,1.1793,1,2,1.9951
3,30,1,1,1,1,1,1.4337,1,1,2.1855
3,31,1,1,1,1,1,0.8761,2,1,1.8199
3,32,2,1,1,1,1,1.0364,2,2,1.4682
3,33,2,2,2,1,2,1.0218,2,2,0.8776
3,34,1,2,1,0,2,1.014,1,1,0.8058
3,35,2,1,2,0,1,0.9488,2,2,0.9966
3,36,1,1,1,1,1,1.0153,2,2,0.6151
3,37,2,1,2,0,1,1.1553,2,2,1.523
3,38,2,2,2,1,2,1.0005,2,2,1.3684
3,39,1,2,1,0,2,0.8995,1,1,0.8833
3,40,2,2,1,0,2,0.9439,1,1,2.0157
3,41,2,1,1,1,1,0.9468,2,2,0.8026
3,42,1,2,2,1,2,1.0095,2,2,0.6733
3,43,1,1,1,1,1,0.806,2,2,0.9178
3,44,1,2,1,0,2,1.0593,1,1,0.5951
3,45,1,1,1,1,1,0.8623,1,1,0.5901
3,46,2,2,1,0,2,0.9971,2,2,0.7889
3,47,2,1,1,1,1,1.2806,1,1,0.8163
3,48,1,1,2,0,2,0.7556,2,2,0.6551
3,49,1,2,2,1,2,1.015,2,2,0.7428
3,50,2,2,2,1,2,0.9446,2,1,0.6724
3,51,2,2,2,1,2,1.1088,1,1,1.0926
3,52,2,2,2,1,2,0.9702,2,2,1.4659
3,53,2,2,1,0,2,1.0023,1,1,1.6261
3,54,2,2,1,0,2,0.8984,1,1,1.7781
3,55,1,2,2,1,2,1.0725,2,2,0.6723
3,56,2,1,2,0,1,1.2008,2,2,1.9525
3,57,1,1,2,0,1,1.3265,1,1,0.7342
3,58,1,1,1,1,1,1.1281,1,1,0.7278
3,59,2,2,2,1,2,0.8774,1,1,0.7972
3,60,2,2,1,0,2,1.0042,2,2,1.116
3,61,1,1,1,1,1,1.1097,2,2,0.6455
3,62,1,2,2,1,2,1.0695,2,2,0.6693
3,63,2,2,2,1,2,1.2094,1,1,0.7452
3,64,2,1,1,1,1,1.011,2,2,1.5068
3,65,2,1,2,0,1,0.9431,2,1,0.7989
3,66,2,1,1,1,1,0.9398,1,2,1.3076
3,67,2,2,1,0,2,1.4169,2,2,0.9527
3,68,2,1,2,0,1,0.7389,1,2,1.4267
3,69,1,1,1,1,1,1.2903,1,2,0.8262
3,70,1,1,1,1,1,0.7896,1,1,0.7094
3,71,1,1,2,0,1,0.8825,2,2,0.5463
3,72,1,1,1,1,1,0.7561,1,1,0.4839
3,73,2,2,1,0,2,1.6368,2,1,0.7246
3,74,2,1,2,0,1,1.1662,1,1,1.3419
3,75,1,1,1,1,1,1.0887,2,2,0.6884
3,76,1,1,1,1,1,0.7571,2,2,0.8689
3,77,1,2,2,1,1,0.7257,1,1,0.7885
3,78,2,2,2,1,2,1.1993,2,1,0.991
3,79,1,1,1,1,1,0.9178,1,1,1.2216
3,80,1,2,2,1,2,1.0808,1,1,0.8085
3,81,1,1,1,1,1,0.9397,2,2,0.7315
3,82,2,2,1,0,2,1.1894,1,1,2.1331
3,83,1,2,2,1,2,0.9988,2,2,0.5986
3,84,1,2,1,0,2,1.1454,1,1,0.9371
3,85,1,2,2,1,2,1.0787,2,2,1.2545
3,86,2,2,2,1,2,1.1424,1,1,1.1902
3,87,1,1,2,0,1,0.9449,2,2,0.7366
3,88,1,2,1,0,2,1.0025,2,2,0.6022
3,89,2,1,2,0,1,0.8695,1,2,2.0693
3,90,1,2,2,1,2,1.018,2,2,2.2178
3,91,1,2,2,1,2,1.0821,2,2,1.2578
3,92,2,1,2,0,1,0.9994,1,1,2.1991
3,93,2,2,1,0,2,1.0347,1,1,1.8505
3,94,2,2,1,0,2,0.8823,2,1,1.762
3,95,1,1,2,0,1,0.924,1,1,1.0998
3,96,2,2,1,0,2,1.0178,1,1,0.8736
3,97,2,1,2,0,1,1.0209,1,1,0.7487
3,98,2,2,2,1,2,1.0027,2,2,0.9225
3,99,2,2,1,0,2,0.9883,2,2,2.4441
3,100,2,1,2,0,1,0.8236,2,2,0.6154
3,101,1,1,2,0,1,0.9466,1,1,0.6744
3,102,1,2,1,0,2,0.8828,2,2,0.5466
3,103,2,1,1,1,1,0.8845,2,2,1.3802
3,104,2,2,1,0,2,0.9989,2,2,0.7907
3,105,1,1,2,0,1,0.8697,2,2,0.6615
3,106,2,2,1,0,2,0.8346,1,1,1.2024
3,107,1,1,1,1,1,0.7533,2,2,0.6091
3,108,2,1,1,1,1,0.6961,1,1,0.7439
3,109,2,2,1,0,2,1.1899,2,2,1.0457
3,110,1,1,2,0,1,0.9534,1,1,0.4892
3,111,2,2,2,1,2,1.211,1,1,1.5148
3,112,1,1,2,0,1,0.6201,2,2,1.1799
3,113,1,1,2,0,1,1.0625,1,1,0.6623
3,114,1,1,1,1,1,0.8707,2,2,0.5985
3,115,1,1,2,0,1,0.6855,2,2,0.4773
3,116,1,1,2,0,1,0.49,2,2,0.5378
3,117,1,2,2,1,2,1.1316,2,1,1.1794
3,118,1,1,1,1,1,0.5979,1,1,0.5177
3,119,2,1,2,0,1,0.6231,2,2,1.0548
